Este;Norte;nu;yhat;V1;resp
361685;6984667;0.1218671;0.027168791;0.0031;1
361685;6984667;0.2098252;0.042137315;0.0127;1
356942;6976358;0.4670607;0.0164963;0.0018;1
356942;6976358;0.000001;0.075716626;0.0672;1
356942;6976358;0.001914458;0.030979868;0.019;1
356942;6976358;0.9722609;0.007685129;0;0
356942;6976358;0.9851526;0.009283582;0;0
356942;6976358;0.8983898;0.010941393;0;0
356942;6976358;0.001458003;0.020452481;0.0085;1
356942;6976358;0.999979;0.008580724;0;0
356942;6976358;0.9997046;0.005472361;0;0
355807;6974352;0.9068572;0.021579944;0;0
355807;6974352;0.00003692631;0.06492765;0.0649;1
355807;6974352;0.873426;0.039281458;0;0
355807;6974352;0.946733;0.018593077;0;0
355807;6974352;0.9999967;0.006806221;0;0
355807;6974352;0.9999984;0.009069896;0.0211;1
356833;6973191;0.943288;0.019197461;0;0
356833;6973191;0.9999767;0.002304241;0;0
355855;6974169;0.04909547;0.019506338;0.0098;1
355855;6974169;0.03119184;0.040972686;0.02;1
355855;6974169;0.2039253;0.034572635;0.0269;1
358549;6973267;0.9593771;0.018262521;0;0
358549;6973267;0.03952224;0.027369892;0.0227;1
358549;6973267;0.04407866;0.038228063;0.018;1
358549;6973267;0.002066545;0.042294008;0.0474;1
358549;6973267;0.004856817;0.054792774;0.0369;1
358549;6973267;0.9269773;0.022174743;0;0
358549;6973267;0.5247156;0.024585141;0;0
358549;6973267;0.0001215676;0.014029549;0.0023;1
358549;6973267;0.9987369;0.010482442;0;0
358329;6973434;0.3159775;0.015750471;0.0039;1
358329;6973434;0.8408427;0.018728944;0;0
358329;6973434;0.9980986;0.016525762;0;0
358329;6973434;0.9743461;0.013778773;0;0
357950;6970981;0.9993497;0.009685193;0;0
357950;6970981;0.02585783;0.019316482;0.0059;1
357950;6970981;0.1530419;0.012577994;0.0019;1
357950;6970981;0.9998075;0.02359167;0;0
357950;6970981;0.6543997;0.021093573;0.0054;1
357950;6970981;0.09511009;0.018379352;0.0071;1
