Este;Norte;nu;yhat;V1;resp
361685;6984667;0,4369504;0,049206532;0,0031;1
361685;6984667;0,4369504;0,044277764;0,0127;1
356942;6976358;0,4329317;0,029416887;0,0018;1
356942;6976358;0,4329317;0,055197386;0,0672;1
356942;6976358;0,4329317;0,055091768;0,019;1
356942;6976358;0,4329317;0;0;0
356942;6976358;0,4329317;0;0;0
356942;6976358;0,4329317;0;0;0
356942;6976358;0,4329317;0,055116963;0,0085;1
356942;6976358;0,4329317;0;0;0
356942;6976358;0,4329317;0;0;0
355807;6974352;0,4320898;0;0;0
355807;6974352;0,4320898;0,054986883;0,0649;1
355807;6974352;0,4320898;0;0;0
355807;6974352;0,4320898;0;0;0
355807;6974352;0,4320898;0;0;0
355807;6974352;0,4320898;0;0,0211;1
356833;6973191;0,4529276;0;0;0
356833;6973191;0,4529276;0;0;0
355855;6974169;0,4339246;0,05200226;0,0098;1
355855;6974169;0,4339246;0,052981359;0,02;1
355855;6974169;0,4339246;0,04353506;0,0269;1
358549;6973267;0,4743322;0;0;0
358549;6973267;0,4743322;0,046957726;0,0227;1
358549;6973267;0,4743322;0,046734962;0,018;1
358549;6973267;0,4743322;0,048788933;0,0474;1
358549;6973267;0,4743322;0,048652517;0,0369;1
358549;6973267;0,4743322;0;0;0
358549;6973267;0,4743322;0,023236639;0;0
358549;6973267;0,4743322;0,048884023;0,0023;1
358549;6973267;0,4743322;0;0;0
358329;6973434;0,4703762;0,03381992;0,0039;1
358329;6973434;0,4703762;0;0;0
358329;6973434;0,4703762;0;0;0
358329;6973434;0,4703762;0;0;0
357950;6970981;0,4822596;0;0;0
357950;6970981;0,4822596;0,046299933;0,0059;1
357950;6970981;0,4822596;0,040255011;0,0019;1
357950;6970981;0,4822596;0;0;0
357950;6970981;0,4822596;0,016426012;0,0054;1
357950;6970981;0,4822596;0,043008447;0,0071;1
357950;6970981;0,4822596;0;0;0
357950;6970981;0,4822596;0,046747077;0,0082;1
357950;6970981;0,4822596;0;0;0
357950;6970981;0,4822596;0;0;0
357950;6970981;0,4822596;0,044643611;0,0058;1
358147;6970968;0,4848762;0,043833684;0,0256;1
358147;6970968;0,4848762;0;0;0
358147;6970968;0,4848762;0,047183791;0,0024;1
358147;6970968;0,4848762;0,046075591;0,0006;1
358147;6970968;0,4848762;0,014410948;0;0
358147;6970968;0,4848762;0;0;0
358147;6970968;0,4848762;0;0;0
358147;6970968;0,4848762;0,046462197;0,0209;1
358147;6970968;0,4848762;0;0;0
358147;6970968;0,4848762;0;0;0
361030;6963859;0,5700657;0;0;0
361030;6963859;0,5700657;0;0;0
361030;6963859;0,5700657;0,036353306;0,0079;1
361030;6963859;0,5700657;0;0;0
407694;7006879;0,8179655;0;0,0001;1
407694;7006879;0,8179655;0,009685702;0;0
407740;7006939;0,8180729;0;0;0
407740;7006939;0,8180729;0;0;0
408010;7007138;0,8193238;0;0;0
408010;7007138;0,8193238;0,008093411;0;0
407185;7006064;0,8173911;0;0;0
407417;7007366;0,8138263;0;0;0
407417;7007366;0,8138263;0;0;0
407417;7007366;0,8138263;0;0;0
407417;7007366;0,8138263;0,016324216;0;0
407417;7007366;0,8138263;0,016834536;0,0065;1
407417;7007366;0,8138263;0,013038752;0,002;1
407419;7007362;0,8138585;0;0;0
407419;7007362;0,8138585;0;0;0
407419;7007362;0,8138585;0,008229321;0,0008;1
407419;7007362;0,8138585;0;0;0
407419;7007362;0,8138585;0,016831395;0,0058;1
