Este;Norte;nu;yhat;V1;resp
361685;6984667;0.1412816;0.027182872;0.0031;1
361685;6984667;0.1756245;0.042159155;0.0127;1
356942;6976358;0.4647179;0.016475887;0.0018;1
356942;6976358;0.000001;0.075622933;0.0672;1
356942;6976358;0.01362116;0.030941534;0.019;1
356942;6976358;0.9454308;0.007675619;0;0
356942;6976358;0.9722401;0.009272094;0;0
356942;6976358;0.877488;0.010927854;0;0
356942;6976358;0.002995448;0.020427173;0.0085;1
356942;6976358;0.9999844;0.008570106;0;0
356942;6976358;0.9986021;0.005465589;0;0
355807;6974352;0.8074906;0.021544269;0;0
355807;6974352;0.000002301673;0.064820315;0.0649;1
355807;6974352;0.8003795;0.03921652;0;0
355807;6974352;0.8563983;0.01856234;0;0
355807;6974352;0.999999;0.006794969;0;0
355807;6974352;0.9999986;0.009054902;0.0211;1
356833;6973191;0.8836008;0.019172303;0;0
356833;6973191;0.9999525;0.002301222;0;0
355855;6974169;0.1336549;0.019474283;0.0098;1
355855;6974169;0.07671432;0.040905355;0.02;1
355855;6974169;0.2082483;0.034515821;0.0269;1
358549;6973267;0.9287517;0.018251857;0;0
358549;6973267;0.1040181;0.02735391;0.0227;1
358549;6973267;0.1254208;0.038205742;0.018;1
358549;6973267;0.01155352;0.042269313;0.0474;1
358549;6973267;0.1030524;0.054760781;0.0369;1
358549;6973267;0.8090084;0.022161795;0;0
358549;6973267;0.4788119;0.024570786;0;0
358549;6973267;0.01202316;0.014021358;0.0023;1
358549;6973267;0.995438;0.010476321;0;0
358329;6973434;0.4044371;0.015739631;0.0039;1
358329;6973434;0.6146083;0.018716054;0;0
358329;6973434;0.9833384;0.016514388;0;0
358329;6973434;0.9351965;0.01376929;0;0
357950;6970981;0.997278;0.009677522;0;0
357950;6970981;0.06081711;0.019301182;0.0059;1
357950;6970981;0.219573;0.012568032;0.0019;1
357950;6970981;0.9988447;0.023572983;0;0
357950;6970981;0.6315013;0.021076866;0.0054;1
357950;6970981;0.2432294;0.018364794;0.0071;1
357950;6970981;0.7698421;0.011801592;0;0
357950;6970981;0.04193139;0.023415067;0.0082;1
357950;6970981;0.7234276;0.017651961;0;0
357950;6970981;0.9989893;0.008858615;0;0
357950;6970981;0.06541829;0.016579579;0.0058;1
358147;6970968;0.1149897;0.035193036;0.0256;1
358147;6970968;0.8372835;0.006182426;0;0
358147;6970968;0.000006954209;0.013154169;0.0024;1
358147;6970968;0.06907199;0.012160962;0.0006;1
358147;6970968;0.6194659;0.023276611;0;0
358147;6970968;0.9969101;0.020938919;0;0
358147;6970968;0.99983;0.013573196;0;0
358147;6970968;0.05170411;0.032107612;0.0209;1
358147;6970968;0.9587583;0.019422268;0;0
358147;6970968;0.9362636;0.023151357;0;0
361030;6963859;0.9567927;0.008865166;0;0
361030;6963859;0.9995593;0.00877597;0;0
361030;6963859;0.00651953;0.023778862;0.0079;1
361030;6963859;0.9986378;0.009491923;0;0
407694;7006879;0.8905404;0;0.0001;1
407694;7006879;0.3701857;0;0;0
407740;7006939;0.8431227;0;0;0
407740;7006939;0.9162764;0;0;0
408010;7007138;0.9340376;0;0;0
408010;7007138;0.3930817;0;0;0
407185;7006064;0.991707;0;0;0
407417;7007366;0.9098726;0;0;0
407417;7007366;0.943492;0;0;0
407417;7007366;0.9989961;0;0;0
407417;7007366;0.1749454;0;0;0
407417;7007366;0.000001;0;0.0065;1
407417;7007366;0.3235805;0;0.002;1
407419;7007362;0.9997813;0;0;0
407419;7007362;0.9999989;0;0;0
407419;7007362;0.611336;0;0.0008;1
407419;7007362;0.9906855;0;0;0
407419;7007362;0.000001;0;0.0058;1
407419;7007362;0.000429398;0;0.0124;1
407419;7007362;0.7189773;0;0.0001;1
407419;7007362;0.97505;0;0;0
407419;7007362;0.9992694;0;0;0
407419;7007362;0.999999;0;0;0
407419;7007362;0.9280204;0;0;0
407185;7006064;0.9950464;0;0;0
405355;7006379;0.999902;0;0;0
405355;7006379;0.999999;0;0;0
405355;7006379;0.7604084;0;0;0
405355;7006379;0.9140151;0;0;0
405355;7006379;0.9308965;0;0;0
405355;7006379;0.2124187;0;0.0024;1
405355;7006379;0.999999;0;0;0
405355;7006379;0.9305092;0;0;0
405354;7006362;0.9966744;0;0;0
405354;7006362;0.9991835;0;0;0
405354;7006362;0.322379;0;0.0001;1
405361;7006403;0.9951058;0;0;0
405361;7006403;0.9660219;0;0;0
405361;7006403;0.9999716;0;0;0
405361;7006403;0.01657569;0;0.0016;1
405361;7006403;0.9997717;0;0;0
405375;7006438;0.999028;0;0;0
405375;7006438;0.4211741;0;0;0
405375;7006438;0.9958925;0;0;0
405395;7006580;0.1657958;0;0.0024;1
405395;7006580;0.9575778;0;0;0
405395;7006580;0.999999;0;0;0
405395;7006580;0.9999669;0;0;0
405192;7006522;0.9998529;0;0;0
405192;7006522;0.272423;0;0.0009;1
405192;7006522;0.9846459;0;0;0
405192;7006522;0.000001;0;0.0015;1
405192;7006522;0.8425932;0;0;0
405192;7006522;0.1363187;0;0.0005;1
405143;7006516;0.8003936;0;0;0
405143;7006516;0.4964911;0;0;0
405143;7006516;0.4106489;0;0;0
405142;7006493;0.999999;0;0;0
405142;7006493;0.8479438;0;0;0
405026;7006428;0.9376014;0;0;0
405026;7006428;0.3529238;0;0.0004;1
405026;7006428;0.4525105;0;0;0
405026;7006428;0.344015;0;0.0009;1
404892;7006421;0.8330391;0;0;0
404892;7006421;0.9002833;0;0;0
404892;7006421;0.979448;0;0;0
404892;7006421;0.8812286;0;0;0
404892;7006421;0.9939284;0;0;0
404875;7006362;0.9999716;0;0;0
404875;7006362;0.000001;0;0.0005;1
404875;7006362;0.4848999;0;0.002;1
404875;7006362;0.9788186;0;0;0
404875;7006362;0.9978461;0;0;0
404875;7006362;0.9608442;0;0;0
404875;7006362;0.8954293;0;0;0
404875;7006362;0.9307636;0;0;0
404875;7006362;0.9955687;0;0;0
404248;7005493;0.9999933;0;0;0
404815;7005664;0.9999985;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.9999117;0;0;0
404815;7005664;0.999999;0;0;0
404815;7005664;0.9790203;0;0;0
404815;7005664;0.9999989;0;0;0
404726;7005781;0.9989354;0;0;0
404726;7005781;0.999999;0;0;0
404726;7005781;0.9984416;0;0;0
404726;7005781;0.9999914;0;0;0
404724;7005805;0.999999;0;0;0
404909;7006131;0.9892003;0;0;0
404909;7006131;0.9780358;0;0;0
404909;7006131;0.999999;0;0;0
404909;7006131;0.945061;0;0;0
403940;7004454;0.999374;0;0;0
403602;7004521;0.999907;0;0;0
403216;7004812;0.9995661;0;0;0
403293;7004797;0.9410914;0;0;0
403857;7005081;0.9995106;0;0;0
403857;7005081;0.9999732;0;0;0
403857;7005081;0.02128047;0;0.0129;1
403857;7005081;0.9982952;0;0;0
403857;7005081;0.999999;0;0;0
403857;7005081;0.9287008;0;0;0
403848;7005175;0.9953139;0;0;0
403848;7005175;0.9999975;0;0;0
403848;7005175;0.8689365;0;0;0
403848;7005175;0.9998021;0;0;0
403848;7005175;0.9999938;0;0;0
403848;7005175;0.9999956;0;0;0
403848;7005175;0.999999;0;0;0
403848;7005175;0.9996757;0;0;0
403848;7005175;0.999999;0;0;0
403848;7005175;0.1287578;0;0.0006;1
403848;7005175;0.4384449;0;0.0002;1
403848;7005175;0.8532068;0;0;0
403848;7005175;0.9997782;0;0;0
403848;7005175;0.000001;0;0.0182;1
403848;7005175;0.3398296;0;0.0005;1
403837;7005216;0.000001;0;0.0008;1
403837;7005216;0.0006134987;0;0.001;1
403837;7005216;0.006386864;0;0.0005;1
403837;7005216;0.9999958;0;0;0
403837;7005216;0.9999555;0;0;0
403837;7005216;0.3441192;0;0.0004;1
403837;7005216;0.00003884144;0;0.0005;1
403001;7006637;0.6728172;0;0;0
403001;7006637;0.9999989;0;0;0
403001;7006637;0.1798246;0;0;0
403001;7006637;0.999999;0;0;0
402997;7006465;0.999999;0;0;0
402997;7006465;0.9999197;0;0;0
402997;7006465;0.9999038;0;0;0
403604;7006534;0.9104442;0;0;0
403604;7006534;0.9920284;0;0;0
404147;7006874;0.9996254;0;0;0
404981;7006751;0.9961756;0;0;0
404981;7006751;0.9999835;0;0;0
404981;7006751;0.8989168;0;0;0
404981;7006751;0.999999;0;0;0
404981;7006751;0.9605337;0;0;0
404981;7006751;0.999999;0;0;0
359870;6983388;0.834118;0.037634748;0;0
359695;6983453;0.002281689;0.030701189;0.0103;1
359695;6983453;0.000001;0.061231626;0.0443;1
359695;6983453;0.0002480345;0.040042251;0.015;1
359695;6983453;0.00002816198;0.028620998;0.0232;1
359878;6983420;0.2033742;0.046332558;0.0164;1
359878;6983420;0.1834249;0.040458666;0.0071;1
359604;6983421;0.9861242;0.007382834;0;0
359604;6983421;0.2318522;0.016076794;0.0006;1
359604;6983421;0.8056017;0.015673742;0;0
359604;6983421;0.9990166;0.006883891;0;0
359766;6983542;0.9710006;0.023711336;0;0
359766;6983542;0.7646862;0.029899321;0;0
359766;6983542;0.6494533;0.018315791;0;0
359766;6983573;0.3695144;0.023456934;0;0
359766;6983573;0.7828735;0.021417006;0;0
359821;6983604;0.0006926319;0.040263732;0.023;1
359821;6983604;0.004629423;0.042256401;0.0279;1
359635;6983017;0.002775758;0.040583012;0.0323;1
359607;6983017;0.9655287;0.027975344;0;0
359607;6983017;0.798772;0.023942251;0;0
359689;6983048;0.3866077;0.023180052;0;0
359658;6983356;0.001356053;0.065649169;0.0823;1
359658;6983356;0.0001363467;0.035504748;0.0184;1
359658;6983356;0.1107572;0.0367133;0.0313;1
359658;6983356;0.02447272;0.049657464;0.0389;1
359658;6983356;0.1830208;0.014918473;0.0137;1
359737;6983665;0.9667795;0.00864807;0;0
359737;6983665;0.8383963;0.023272843;0;0
359635;6983017;0.9746974;0.015185631;0;0
359635;6983017;0.7146301;0.01618206;0;0
359766;6983542;0.07179729;0.037175507;0.0079;1
359767;6983511;0.001172259;0.05821115;0.0775;1
359767;6983511;0.000001;0.072844373;0.0562;1
359767;6983511;0.05314193;0.043083772;0.0202;1
359767;6983511;0.000001;0.027511478;0.0146;1
359767;6983511;0.000001;0.043066404;0.0349;1
359579;6983047;0.1865156;0.024805746;0.0183;1
359579;6983047;0.9647411;0.017760666;0;0
359767;6983511;0.0406683;0.040841019;0.0362;1
359767;6983511;0.000001;0.052857603;0.0393;1
359579;6983047;0.0009230115;0.049012493;0.081;1
359579;6983047;0.3063422;0.039462728;0.0141;1
359792;6983665;0.000001;0.055512098;0.0505;1
359716;6983141;0.07833637;0.034360036;0.014;1
359716;6983141;0.002730386;0.034542555;0.0225;1
359576;6983324;0.9387089;0.006896428;0;0
359607;6983017;0.6999219;0.008576569;0;0
359544;6983147;0.0001591587;0.074517915;0.061;1
359544;6983147;0.1170129;0.024791013;0.007;1
359536;6983158;0.8971654;0;0;0
359672;6983573;0.6770688;0.009040922;0.0008;1
359545;6983147;0.3039765;0.034208611;0.0048;1
359536;6983143;0.8052164;0.029183544;0;0
359532;6983128;0.233114;0.042591276;0.0292;1
359691;6983065;0.1382552;0.049251051;0.0322;1
359696;6983084;0.6071902;0.036783152;0;0
363819;6966868;0.000001;0.055188889;0.0519;1
362975;6967950;0.1142028;0.008504237;0.0022;1
363907;6966361;0.9928566;0.004763979;0;0
363907;6966361;0.9999655;0.003526217;0;0
363907;6966361;0.08441834;0.050791742;0.1274;1
363907;6966361;0.2683893;0.013235408;0.0141;1
363907;6966361;0.1476535;0.022975743;0.0027;1
362975;6967950;0.04420078;0.027075151;0.0237;1
