Este;Norte;nu;yhat;V1;resp
361685;6984667;0.4366586;0.048118629;0.0031;1
361685;6984667;0.4366586;0.046194214;0.0127;1
356942;6976358;0.4336334;0.029546201;0.0018;1
356942;6976358;0.4336334;0.055197386;0.0672;1
356942;6976358;0.4336334;0.054445588;0.019;1
356942;6976358;0.4336334;0;0;0
356942;6976358;0.4336334;0;0;0
356942;6976358;0.4336334;0;0;0
356942;6976358;0.4336334;0.0550321;0.0085;1
356942;6976358;0.4336334;0;0;0
356942;6976358;0.4336334;0;0;0
355807;6974352;0.4330287;0;0;0
355807;6974352;0.4330287;0.054988787;0.0649;1
355807;6974352;0.4330287;0;0;0
355807;6974352;0.4330287;0;0;0
355807;6974352;0.4330287;0;0;0
355807;6974352;0.4330287;0;0.0211;1
356833;6973191;0.4536445;0;0;0
356833;6973191;0.4536445;0;0;0
355855;6974169;0.4348548;0.047377945;0.0098;1
355855;6974169;0.4348548;0.050491864;0.02;1
355855;6974169;0.4348548;0.043298646;0.0269;1
358549;6973267;0.4746391;0;0;0
358549;6973267;0.4746391;0.043804523;0.0227;1
358549;6973267;0.4746391;0.042758148;0.018;1
358549;6973267;0.4746391;0.048325115;0.0474;1
358549;6973267;0.4746391;0.043851739;0.0369;1
358549;6973267;0.4746391;0;0;0
358549;6973267;0.4746391;0.025480869;0;0
358549;6973267;0.4746391;0.048302155;0.0023;1
358549;6973267;0.4746391;0;0;0
358329;6973434;0.4707407;0.029446236;0.0039;1
358329;6973434;0.4707407;0.019054805;0;0
358329;6973434;0.4707407;0;0;0
358329;6973434;0.4707407;0;0;0
357950;6970981;0.4826697;0;0;0
357950;6970981;0.4826697;0.044638356;0.0059;1
357950;6970981;0.4826697;0.037092857;0.0019;1
357950;6970981;0.4826697;0;0;0
357950;6970981;0.4826697;0.017514349;0.0054;1
357950;6970981;0.4826697;0.035968497;0.0071;1
357950;6970981;0.4826697;0;0;0
357950;6970981;0.4826697;0.045535974;0.0082;1
357950;6970981;0.4826697;0;0;0
357950;6970981;0.4826697;0;0;0
357950;6970981;0.4826697;0.044419666;0.0058;1
358147;6970968;0.485236;0.04176309;0.0256;1
358147;6970968;0.485236;0;0;0
358147;6970968;0.485236;0.047189054;0.0024;1
358147;6970968;0.485236;0.043929918;0.0006;1
358147;6970968;0.485236;0.017957169;0;0
358147;6970968;0.485236;0;0;0
358147;6970968;0.485236;0;0;0
358147;6970968;0.485236;0.044749498;0.0209;1
358147;6970968;0.485236;0;0;0
358147;6970968;0.485236;0;0;0
361030;6963859;0.5696232;0;0;0
361030;6963859;0.5696232;0;0;0
361030;6963859;0.5696232;0.036233858;0.0079;1
361030;6963859;0.5696232;0;0;0
407694;7006879;0.8193091;0;0.0001;1
407694;7006879;0.8193091;0.01034984;0;0
407740;7006939;0.8194212;0;0;0
407740;7006939;0.8194212;0;0;0
408010;7007138;0.820764;0;0;0
408010;7007138;0.820764;0.009909532;0;0
407185;7006064;0.818747;0;0;0
407417;7007366;0.8147867;0;0;0
407417;7007366;0.8147867;0;0;0
407417;7007366;0.8147867;0;0;0
407417;7007366;0.8147867;0.013889426;0;0
407417;7007366;0.8147867;0.016834536;0.0065;1
407417;7007366;0.8147867;0.01138722;0.002;1
407419;7007362;0.8148218;0;0;0
407419;7007362;0.8148218;0;0;0
407419;7007362;0.8148218;0.006541764;0.0008;1
407419;7007362;0.8148218;0;0;0
407419;7007362;0.8148218;0.016831395;0.0058;1
407419;7007362;0.8148218;0.016824184;0.0124;1
407419;7007362;0.8148218;0;0.0001;1
407419;7007362;0.8148218;0;0;0
407419;7007362;0.8148218;0;0;0
407419;7007362;0.8148218;0;0;0
407419;7007362;0.8148218;0;0;0
407185;7006064;0.818747;0;0;0
405355;7006379;0.8016354;0;0;0
405355;7006379;0.8016354;0;0;0
405355;7006379;0.8016354;0;0;0
405355;7006379;0.8016354;0;0;0
405355;7006379;0.8016354;0;0;0
405355;7006379;0.8016354;0.014076962;0.0024;1
405355;7006379;0.8016354;0;0;0
405355;7006379;0.8016354;0;0;0
405354;7006362;0.8017075;0;0;0
405354;7006362;0.8017075;0;0;0
405354;7006362;0.8017075;0.012106776;0.0001;1
405361;7006403;0.8015739;0;0;0
405361;7006403;0.8015739;0;0;0
405361;7006403;0.8015739;0;0;0
405361;7006403;0.8015739;0.017583891;0.0016;1
405361;7006403;0.8015739;0;0;0
405375;7006438;0.8015304;0;0;0
405375;7006438;0.8015304;0.010352899;0;0
405375;7006438;0.8015304;0;0;0
405395;7006580;0.8010297;0.014962837;0.0024;1
405395;7006580;0.8010297;0;0;0
405395;7006580;0.8010297;0;0;0
405395;7006580;0.8010297;0;0;0
405192;7006522;0.7995152;0;0;0
405192;7006522;0.7995152;0.013140385;0.0009;1
405192;7006522;0.7995152;0;0;0
405192;7006522;0.7995152;0.018060454;0.0015;1
405192;7006522;0.7995152;0;0;0
405192;7006522;0.7995152;0.015598492;0.0005;1
405143;7006516;0.7991102;0;0;0
405143;7006516;0.7991102;0.009110585;0;0
405143;7006516;0.7991102;0.010663832;0;0
405142;7006493;0.7992117;0;0;0
405142;7006493;0.7992117;0;0;0
405026;7006428;0.7984955;0;0;0
405026;7006428;0.7984955;0.011738333;0.0004;1
405026;7006428;0.7984955;0.009931773;0;0
405026;7006428;0.7984955;0.011899944;0.0009;1
404892;7006421;0.7973381;0;0;0
404892;7006421;0.7973381;0;0;0
404892;7006421;0.7973381;0;0;0
404892;7006421;0.7973381;0;0;0
404892;7006421;0.7973381;0;0;0
404875;7006362;0.7974712;0;0;0
404875;7006362;0.7974712;0.018222811;0.0005;1
404875;7006362;0.7974712;0.009386582;0.002;1
404875;7006362;0.7974712;0;0;0
404875;7006362;0.7974712;0;0;0
404875;7006362;0.7974712;0;0;0
404875;7006362;0.7974712;0;0;0
404875;7006362;0.7974712;0;0;0
404875;7006362;0.7974712;0;0;0
404248;7005493;0.7960761;0;0;0
404815;7005664;0.8002894;0;0;0
404815;7005664;0.8002894;0;0;0
404815;7005664;0.8002894;0;0;0
404815;7005664;0.8002894;0;0;0
404815;7005664;0.8002894;0;0;0
404815;7005664;0.8002894;0;0;0
404815;7005664;0.8002894;0;0;0
404815;7005664;0.8002894;0;0;0
404726;7005781;0.798942;0;0;0
404726;7005781;0.798942;0;0;0
404726;7005781;0.798942;0;0;0
404726;7005781;0.798942;0;0;0
404724;7005805;0.7988091;0;0;0
404909;7006131;0.7988841;0;0;0
404909;7006131;0.7988841;0;0;0
404909;7006131;0.7988841;0;0;0
404909;7006131;0.7988841;0;0;0
403940;7004454;0.7983441;0;0;0
403602;7004521;0.7950051;0;0;0
403216;7004812;0.7900977;0;0;0
403293;7004797;0.7908707;0;0;0
403857;7005081;0.7945723;0;0;0
403857;7005081;0.7945723;0;0;0
403857;7005081;0.7945723;0.01799719;0.0129;1
403857;7005081;0.7945723;0;0;0
403857;7005081;0.7945723;0;0;0
403857;7005081;0.7945723;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0.016065362;0.0006;1
403848;7005175;0.7940342;0.010354855;0.0002;1
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0;0;0
403848;7005175;0.7940342;0.018439588;0.0182;1
403848;7005175;0.7940342;0.012173283;0.0005;1
403837;7005216;0.7937356;0.018467287;0.0008;1
403837;7005216;0.7937356;0.018455975;0.001;1
403837;7005216;0.7937356;0.018349357;0.0005;1
403837;7005216;0.7937356;0;0;0
403837;7005216;0.7937356;0;0;0
403837;7005216;0.7937356;0.012112352;0.0004;1
403837;7005216;0.7937356;0.018466588;0.0005;1
403001;7006637;0.7789923;0.00648369;0;0
403001;7006637;0.7789923;0;0;0
403001;7006637;0.7789923;0.016253186;0;0
403001;7006637;0.7789923;0;0;0
402997;7006465;0.7798264;0;0;0
402997;7006465;0.7798264;0;0;0
402997;7006465;0.7798264;0;0;0
403604;7006534;0.7851136;0;0;0
403604;7006534;0.7851136;0;0;0
404147;7006874;0.7884064;0;0;0
