Norte;Este ;Muestra;zona;MgO;Al2O3;SiO2;P2O5;S;Cl;K2O;CaO;TiO2;V;Cr;MnO;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Ba;La;Ce;Hf;Ta;W;Au;Hg;Tl;Pb;Bi;Th;U
6976358;356942;2;1;0.793;4.265;45.710;3.548;0.427;0.249;0.105;3.636;0.000;0.036;0.000;0.017;3.803;0.000;0.000;0.011;0.001;0.014;0.000;0.000;0.087;0.000;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6974352;355807;3;1;4.600;1.742;14.733;0.056;0.176;0.305;0.000;10.526;0.000;0.000;0.000;0.259;21.204;0.000;0.024;1.470;0.001;0.030;0.000;0.003;0.000;0.000;0.002;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.014;0.009;0.000;0.000
6974352;355807;3;1;1.800;1.394;36.451;0.009;0.402;0.675;0.045;1.769;0.000;0.000;0.000;0.066;27.246;0.094;0.018;2.947;0.000;0.120;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.000;0.000;0.001;0.025;0.013;0.000;0.000
6974352;355807;3;1;0.000;4.443;31.251;0.073;0.080;0.915;0.258;1.606;0.000;0.000;0.000;0.076;35.795;0.365;0.022;15.651;0.000;0.000;0.002;0.012;0.000;0.011;0.000;0.000;0.003;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.042;0.032;0.000;0.000
6974352;355807;3;1;0.000;4.071;18.183;0.079;0.241;0.228;0.194;1.142;0.000;0.022;0.056;0.101;42.503;0.649;0.038;20.437;0.000;0.023;0.000;0.023;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.071;0.056;0.000;0.000
6974352;355807;3;1;2.392;2.937;7.753;0.224;0.097;0.024;0.139;1.040;0.000;0.028;0.000;0.652;21.947;0.000;0.070;3.789;0.001;0.006;0.004;0.007;0.000;0.005;0.000;0.000;0.006;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.029;0.012;0.000;0.000
6974352;355807;3;1;1.402;2.234;30.895;0.341;0.000;0.029;0.040;1.500;0.000;0.000;0.000;0.026;17.265;0.000;0.005;3.659;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.000
6974352;355807;3;1;1.871;2.750;15.431;0.037;0.000;0.652;0.108;3.601;0.000;0.000;0.000;0.153;20.288;0.000;0.019;15.882;0.000;0.000;0.000;0.005;0.000;0.003;0.000;0.000;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.019;0.008;0.009;0.000
6974352;355807;3;1;1.461;0.352;47.051;0.403;0.188;0.029;0.059;0.875;0.010;0.009;0.003;0.004;0.228;0.000;0.003;0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.000
6974352;355807;3;1;2.753;1.578;10.474;0.651;0.189;0.074;0.000;49.506;0.025;0.000;0.006;0.286;3.039;0.000;0.000;0.113;0.001;0.001;0.000;0.000;0.006;0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6974352;355807;3;1;1.239;1.284;28.592;0.169;0.057;0.135;0.184;0.782;0.019;0.013;0.000;0.083;0.464;0.211;0.035;2.268;0.000;0.002;0.000;0.001;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.019;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6973191;356833;4;1;1.601;4.864;15.556;0.162;0.152;0.050;0.164;0.977;0.000;0.005;0.000;0.116;45.373;0.446;0.033;0.574;0.005;0.000;0.000;0.029;0.000;0.000;0.000;0.000;0.000;0.000;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.084;0.066;0.000;0.000
6973191;356833;4;1;2.215;2.621;7.643;0.069;0.099;0.000;0.119;0.793;0.000;0.014;0.000;0.073;31.016;0.000;0.013;1.049;0.001;0.005;0.000;0.020;0.000;0.007;0.000;0.000;0.006;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.071;0.043;0.000;0.000
6973191;356833;4;1;0.000;18.381;20.476;0.347;7.489;0.143;1.315;1.303;0.000;0.016;0.000;0.084;43.274;0.305;0.015;0.198;0.004;0.000;0.000;0.012;0.373;0.002;0.041;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.002;0.000;0.000;0.000;0.000;0.041;0.022;0.000;0.000
6973191;356833;4;1;1.869;4.741;8.793;0.000;3.117;0.054;0.522;0.491;0.011;0.000;0.000;0.028;13.576;0.000;0.031;0.099;0.003;0.003;0.000;0.005;0.286;0.000;0.029;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.022;0.004;0.000;0.000
6974169;355855;5;1;1.570;7.163;42.490;0.161;0.436;0.155;0.180;1.285;0.260;0.008;0.000;0.067;7.617;0.000;0.004;0.014;0.003;0.001;0.000;0.001;0.017;0.000;0.010;0.000;0.001;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.000
6974169;355855;5;1;2.466;6.568;18.354;0.114;0.300;0.342;0.446;0.666;0.000;0.030;0.000;0.101;46.479;0.488;0.036;0.053;0.005;0.000;0.000;0.027;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.076;0.072;0.000;0.000
6974169;355855;5;1;0.000;4.026;55.353;0.267;0.150;0.123;0.255;0.254;0.027;0.010;0.000;0.358;25.279;0.098;0.020;0.174;0.020;0.005;0.000;0.007;0.000;0.001;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.030;0.018;0.000;0.000
6974169;355855;5;1;2.493;2.405;4.940;0.000;0.199;0.065;0.051;0.310;0.000;0.007;0.000;0.156;46.345;0.200;0.051;0.310;0.016;0.000;0.000;0.026;0.000;0.000;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.072;0.061;0.000;0.000
6974169;355855;5;1;0.000;4.888;14.935;0.064;0.186;0.413;0.271;0.886;0.000;0.002;0.000;0.343;34.968;0.269;0.068;0.908;0.050;0.000;0.000;0.018;0.000;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.061;0.042;0.000;0.000
6974169;355855;5;1;1.300;1.329;27.597;0.023;0.166;1.098;0.079;1.237;0.000;0.024;0.000;5.016;9.292;0.314;0.050;12.285;0.031;0.006;0.000;0.000;0.015;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.029;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
